slug,image_filename_abs,image_relpath,image_webpath,color_name,color_rgb,cap_roundness,stem_width,cap_type_bin_3,stem_type_bin_3,cap_roundness_zone,stem_width_zone,cap_value_range_3,stem_value_range_3,cap_heatmap_bin_9,stem_heatmap_bin_9,type_id_within_color_1to9,global_type_id_1to72,is_noisy_type,noise_type,noise_alpha,gaussian_noise_mean,gaussian_noise_std,gaussian_noise_value,assigned_value_original,assigned_value_pre_noise,assigned_value_bin_anchor,assigned_value_nk_raw,assigned_value_nk_clipped,nk_cap_weight_bin1,nk_cap_weight_bin2,nk_cap_weight_bin3,nk_stem_weight_bin1,nk_stem_weight_bin2,nk_stem_weight_bin3,assigned_value_mixed_raw,assigned_value_mixed_clipped,assigned_value,reward_range_3,noise_delta,progress_in_combo,cap_w,cap_h,cap_flat,stem_h,spot_radius,scale,have_ring,ring_position,have_pattern,pattern_type,pattern_label,external,in_neutral_rectangle
black-stem13-cap0p200-clean-+2-r1-bottom-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem13-cap0p200-clean-+2-r1-bottom-p0.png,images_balanced/black-stem13-cap0p200-clean-+2-r1-bottom-p0.png,images_balanced/black-stem13-cap0p200-clean-+2-r1-bottom-p0.png,black,"(0, 0, 0)",0.2,13,1,3,low,high,low,high,1,9,3,3,False,0,0.0,0.0,5.0,0.0,2,2,2,2.130405,2.130405,1.0,0.0,0.0,0.00944,0.046615,0.943945,2.130405,2.130405,2,middle,0,0.014,22,14,2,8,2,16,True,bottom,False,0,none,True,False
black-stem14-cap0p200-clean-+2-r1-middle-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem14-cap0p200-clean-+2-r1-middle-p1.png,images_balanced/black-stem14-cap0p200-clean-+2-r1-middle-p1.png,images_balanced/black-stem14-cap0p200-clean-+2-r1-middle-p1.png,black,"(0, 0, 0)",0.2,14,1,3,low,high,low,high,1,9,3,3,False,0,0.0,0.0,5.0,0.0,2,2,2,2.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2,middle,0,0.015,22,14,2,8,2,16,True,middle,True,1,spots,True,False
black-stem03-cap0p231-clean-+1-r0-none-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem03-cap0p231-clean-+1-r0-none-p0.png,images_balanced/black-stem03-cap0p231-clean-+1-r0-none-p0.png,images_balanced/black-stem03-cap0p231-clean-+1-r0-none-p0.png,black,"(0, 0, 0)",0.231,3,1,1,low,low,low,low,1,1,1,1,False,0,0.0,0.0,5.0,0.0,1,1,1,0.992771,0.992771,0.998423,0.001271,0.000307,1.0,0.0,0.0,0.992771,0.992771,1,middle,0,0.017,22,14,2,8,2,16,False,none,False,0,none,False,False
black-stem04-cap0p231-clean-+1-r1-top-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem04-cap0p231-clean-+1-r1-top-p2.png,images_balanced/black-stem04-cap0p231-clean-+1-r1-top-p2.png,images_balanced/black-stem04-cap0p231-clean-+1-r1-top-p2.png,black,"(0, 0, 0)",0.231,4,1,1,low,low,low,low,1,1,1,1,False,0,0.0,0.0,5.0,0.0,1,1,1,1.188703,1.188703,0.998423,0.001271,0.000307,0.943945,0.046615,0.00944,1.188703,1.188703,1,middle,0,0.018,22,14,2,8,2,16,True,top,True,2,stripes,True,False
black-stem05-cap0p231-clean-+2-r1-bottom-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem05-cap0p231-clean-+2-r1-bottom-p0.png,images_balanced/black-stem05-cap0p231-clean-+2-r1-bottom-p0.png,images_balanced/black-stem05-cap0p231-clean-+2-r1-bottom-p0.png,black,"(0, 0, 0)",0.231,5,1,1,low,low,low,low,1,2,1,1,False,0,0.0,0.0,5.0,0.0,2,2,1,1.978081,1.978081,0.998423,0.001271,0.000307,0.726789,0.23732,0.035891,1.978081,1.978081,2,middle,0,0.019,22,14,2,8,2,16,True,bottom,False,0,none,True,False
black-stem06-cap0p231-clean-+3-r0-none-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem06-cap0p231-clean-+3-r0-none-p0.png,images_balanced/black-stem06-cap0p231-clean-+3-r0-none-p0.png,images_balanced/black-stem06-cap0p231-clean-+3-r0-none-p0.png,black,"(0, 0, 0)",0.231,6,1,1,low,low,low,low,1,3,1,1,False,0,0.0,0.0,5.0,0.0,3,3,1,3.279554,3.279554,0.998423,0.001271,0.000307,0.387503,0.558004,0.054493,3.279554,3.279554,3,middle,0,0.021,22,14,2,8,2,16,False,none,False,0,none,False,False
black-stem07-cap0p231-clean-+4-r1-bottom-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem07-cap0p231-clean-+4-r1-bottom-p1.png,images_balanced/black-stem07-cap0p231-clean-+4-r1-bottom-p1.png,images_balanced/black-stem07-cap0p231-clean-+4-r1-bottom-p1.png,black,"(0, 0, 0)",0.231,7,1,2,low,middle,low,middle,1,4,2,2,False,0,0.0,0.0,5.0,0.0,4,4,5,4.402936,4.402936,0.998423,0.001271,0.000307,0.118517,0.842784,0.038699,4.402936,4.402936,4,high,0,0.022,22,14,2,8,2,16,True,bottom,True,1,spots,True,False
black-stem08-cap0p231-clean-+5-r0-none-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem08-cap0p231-clean-+5-r0-none-p0.png,images_balanced/black-stem08-cap0p231-clean-+5-r0-none-p0.png,images_balanced/black-stem08-cap0p231-clean-+5-r0-none-p0.png,black,"(0, 0, 0)",0.231,8,1,2,low,middle,low,middle,1,5,2,2,False,0,0.0,0.0,5.0,0.0,5,5,5,4.933265,4.933265,0.998423,0.001271,0.000307,0.009834,0.983338,0.006829,4.933265,4.933265,5,high,0,0.024,22,14,2,8,2,16,False,none,False,0,none,False,False
black-stem09-cap0p231-clean-+5-r0-none-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem09-cap0p231-clean-+5-r0-none-p1.png,images_balanced/black-stem09-cap0p231-clean-+5-r0-none-p1.png,images_balanced/black-stem09-cap0p231-clean-+5-r0-none-p1.png,black,"(0, 0, 0)",0.231,9,1,2,low,middle,low,middle,1,5,2,2,False,0,0.0,0.0,5.0,0.0,5,5,5,4.936275,4.936275,0.998423,0.001271,0.000307,0.006829,0.983338,0.009834,4.936275,4.936275,5,high,0,0.025,22,14,2,8,2,16,False,none,True,1,spots,True,False
black-stem10-cap0p231-clean-+4-r0-none-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem10-cap0p231-clean-+4-r0-none-p1.png,images_balanced/black-stem10-cap0p231-clean-+4-r0-none-p1.png,images_balanced/black-stem10-cap0p231-clean-+4-r0-none-p1.png,black,"(0, 0, 0)",0.231,10,1,2,low,middle,low,middle,1,6,2,2,False,0,0.0,0.0,5.0,0.0,4,4,5,4.482904,4.482904,0.998423,0.001271,0.000307,0.038699,0.842784,0.118517,4.482904,4.482904,4,high,0,0.026,22,14,2,8,2,16,False,none,True,1,spots,True,False
black-stem11-cap0p231-clean-+4-r1-top-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem11-cap0p231-clean-+4-r1-top-p0.png,images_balanced/black-stem11-cap0p231-clean-+4-r1-top-p0.png,images_balanced/black-stem11-cap0p231-clean-+4-r1-top-p0.png,black,"(0, 0, 0)",0.231,11,1,3,low,high,low,high,1,7,3,3,False,0,0.0,0.0,5.0,0.0,4,4,2,3.613192,3.613192,0.998423,0.001271,0.000307,0.054493,0.558004,0.387503,3.613192,3.613192,4,high,0,0.028,22,14,2,8,2,16,True,top,False,0,none,True,False
black-stem12-cap0p231-clean-+3-r0-none-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem12-cap0p231-clean-+3-r0-none-p2.png,images_balanced/black-stem12-cap0p231-clean-+3-r0-none-p2.png,images_balanced/black-stem12-cap0p231-clean-+3-r0-none-p2.png,black,"(0, 0, 0)",0.231,12,1,3,low,high,low,high,1,8,3,3,False,0,0.0,0.0,5.0,0.0,3,3,2,2.670281,2.670281,0.998423,0.001271,0.000307,0.035891,0.23732,0.726789,2.670281,2.670281,3,middle,0,0.029,22,14,2,8,2,16,False,none,True,2,stripes,True,False
black-stem13-cap0p231-clean-+2-r1-bottom-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem13-cap0p231-clean-+2-r1-bottom-p2.png,images_balanced/black-stem13-cap0p231-clean-+2-r1-bottom-p2.png,images_balanced/black-stem13-cap0p231-clean-+2-r1-bottom-p2.png,black,"(0, 0, 0)",0.231,13,1,3,low,high,low,high,1,9,3,3,False,0,0.0,0.0,5.0,0.0,2,2,2,2.124969,2.124969,0.998423,0.001271,0.000307,0.00944,0.046615,0.943945,2.124969,2.124969,2,middle,0,0.031,22,14,2,8,2,16,True,bottom,True,2,stripes,True,False
black-stem14-cap0p231-clean-+2-r0-none-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem14-cap0p231-clean-+2-r0-none-p1.png,images_balanced/black-stem14-cap0p231-clean-+2-r0-none-p1.png,images_balanced/black-stem14-cap0p231-clean-+2-r0-none-p1.png,black,"(0, 0, 0)",0.231,14,1,3,low,high,low,high,1,9,3,3,False,0,0.0,0.0,5.0,0.0,2,2,2,1.994655,1.994655,0.998423,0.001271,0.000307,0.0,0.0,1.0,1.994655,1.994655,2,middle,0,0.032,22,14,2,8,2,16,False,none,True,1,spots,True,False
black-stem03-cap0p261-clean-+1-r0-none-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem03-cap0p261-clean-+1-r0-none-p2.png,images_balanced/black-stem03-cap0p261-clean-+1-r0-none-p2.png,images_balanced/black-stem03-cap0p261-clean-+1-r0-none-p2.png,black,"(0, 0, 0)",0.261,3,1,1,low,low,low,low,1,1,1,1,False,0,0.0,0.0,5.0,0.0,1,1,1,0.970434,0.970434,0.993525,0.005252,0.001223,1.0,0.0,0.0,0.970434,0.970434,1,middle,0,0.033,22,14,2,8,2,16,False,none,True,2,stripes,True,False
black-stem04-cap0p261-clean-+1-r1-top-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem04-cap0p261-clean-+1-r1-top-p1.png,images_balanced/black-stem04-cap0p261-clean-+1-r1-top-p1.png,images_balanced/black-stem04-cap0p261-clean-+1-r1-top-p1.png,black,"(0, 0, 0)",0.261,4,1,1,low,low,low,low,1,1,1,1,False,0,0.0,0.0,5.0,0.0,1,1,1,1.166463,1.166463,0.993525,0.005252,0.001223,0.943945,0.046615,0.00944,1.166463,1.166463,1,middle,0,0.035,22,14,2,8,2,16,True,top,True,1,spots,True,False
black-stem05-cap0p261-clean-+2-r0-none-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem05-cap0p261-clean-+2-r0-none-p1.png,images_balanced/black-stem05-cap0p261-clean-+2-r0-none-p1.png,images_balanced/black-stem05-cap0p261-clean-+2-r0-none-p1.png,black,"(0, 0, 0)",0.261,5,1,1,low,low,low,low,1,2,1,1,False,0,0.0,0.0,5.0,0.0,2,2,1,1.95617,1.95617,0.993525,0.005252,0.001223,0.726789,0.23732,0.035891,1.95617,1.95617,2,middle,0,0.036,22,14,2,8,2,16,False,none,True,1,spots,True,False
black-stem06-cap0p261-clean-+3-r1-bottom-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem06-cap0p261-clean-+3-r1-bottom-p0.png,images_balanced/black-stem06-cap0p261-clean-+3-r1-bottom-p0.png,images_balanced/black-stem06-cap0p261-clean-+3-r1-bottom-p0.png,black,"(0, 0, 0)",0.261,6,1,1,low,low,low,low,1,3,1,1,False,0,0.0,0.0,5.0,0.0,3,3,1,3.258045,3.258045,0.993525,0.005252,0.001223,0.387503,0.558004,0.054493,3.258045,3.258045,3,middle,0,0.038,22,14,2,8,2,16,True,bottom,False,0,none,True,False
black-stem07-cap0p261-clean-+4-r1-bottom-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem07-cap0p261-clean-+4-r1-bottom-p0.png,images_balanced/black-stem07-cap0p261-clean-+4-r1-bottom-p0.png,images_balanced/black-stem07-cap0p261-clean-+4-r1-bottom-p0.png,black,"(0, 0, 0)",0.261,7,1,2,low,middle,low,middle,1,4,2,2,False,0,0.0,0.0,5.0,0.0,4,4,5,4.381596,4.381596,0.993525,0.005252,0.001223,0.118517,0.842784,0.038699,4.381596,4.381596,4,high,0,0.039,22,14,2,8,2,16,True,bottom,False,0,none,True,False
black-stem08-cap0p261-clean-+5-r0-none-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem08-cap0p261-clean-+5-r0-none-p0.png,images_balanced/black-stem08-cap0p261-clean-+5-r0-none-p0.png,images_balanced/black-stem08-cap0p261-clean-+5-r0-none-p0.png,black,"(0, 0, 0)",0.261,8,1,2,low,middle,low,middle,1,5,2,2,False,0,0.0,0.0,5.0,0.0,5,5,5,4.911868,4.911868,0.993525,0.005252,0.001223,0.009834,0.983338,0.006829,4.911868,4.911868,5,high,0,0.04,22,14,2,8,2,16,False,none,False,0,none,False,False
black-stem09-cap0p261-clean-+5-r0-none-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem09-cap0p261-clean-+5-r0-none-p2.png,images_balanced/black-stem09-cap0p261-clean-+5-r0-none-p2.png,images_balanced/black-stem09-cap0p261-clean-+5-r0-none-p2.png,black,"(0, 0, 0)",0.261,9,1,2,low,middle,low,middle,1,5,2,2,False,0,0.0,0.0,5.0,0.0,5,5,5,4.914896,4.914896,0.993525,0.005252,0.001223,0.006829,0.983338,0.009834,4.914896,4.914896,5,high,0,0.042,22,14,2,8,2,16,False,none,True,2,stripes,True,False
black-stem10-cap0p261-clean-+4-r1-top-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem10-cap0p261-clean-+4-r1-top-p2.png,images_balanced/black-stem10-cap0p261-clean-+4-r1-top-p2.png,images_balanced/black-stem10-cap0p261-clean-+4-r1-top-p2.png,black,"(0, 0, 0)",0.261,10,1,2,low,middle,low,middle,1,6,2,2,False,0,0.0,0.0,5.0,0.0,4,4,5,4.462028,4.462028,0.993525,0.005252,0.001223,0.038699,0.842784,0.118517,4.462028,4.462028,4,high,0,0.043,22,14,2,8,2,16,True,top,True,2,stripes,True,False
black-stem11-cap0p261-clean-+4-r0-none-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem11-cap0p261-clean-+4-r0-none-p0.png,images_balanced/black-stem11-cap0p261-clean-+4-r0-none-p0.png,images_balanced/black-stem11-cap0p261-clean-+4-r0-none-p0.png,black,"(0, 0, 0)",0.261,11,1,3,low,high,low,high,1,7,3,3,False,0,0.0,0.0,5.0,0.0,4,4,2,3.593619,3.593619,0.993525,0.005252,0.001223,0.054493,0.558004,0.387503,3.593619,3.593619,4,high,0,0.045,22,14,2,8,2,16,False,none,False,0,none,False,False
black-stem12-cap0p261-clean-+3-r0-none-p2,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem12-cap0p261-clean-+3-r0-none-p2.png,images_balanced/black-stem12-cap0p261-clean-+3-r0-none-p2.png,images_balanced/black-stem12-cap0p261-clean-+3-r0-none-p2.png,black,"(0, 0, 0)",0.261,12,1,3,low,high,low,high,1,8,3,3,False,0,0.0,0.0,5.0,0.0,3,3,2,2.652386,2.652386,0.993525,0.005252,0.001223,0.035891,0.23732,0.726789,2.652386,2.652386,3,middle,0,0.046,22,14,2,8,2,16,False,none,True,2,stripes,True,False
black-stem13-cap0p261-clean-+2-r0-none-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem13-cap0p261-clean-+2-r0-none-p0.png,images_balanced/black-stem13-cap0p261-clean-+2-r0-none-p0.png,images_balanced/black-stem13-cap0p261-clean-+2-r0-none-p0.png,black,"(0, 0, 0)",0.261,13,1,3,low,high,low,high,1,9,3,3,False,0,0.0,0.0,5.0,0.0,2,2,2,2.108162,2.108162,0.993525,0.005252,0.001223,0.00944,0.046615,0.943945,2.108162,2.108162,2,middle,0,0.047,22,14,2,8,2,16,False,none,False,0,none,False,False
black-stem14-cap0p261-clean-+2-r1-bottom-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem14-cap0p261-clean-+2-r1-bottom-p1.png,images_balanced/black-stem14-cap0p261-clean-+2-r1-bottom-p1.png,images_balanced/black-stem14-cap0p261-clean-+2-r1-bottom-p1.png,black,"(0, 0, 0)",0.261,14,1,3,low,high,low,high,1,9,3,3,False,0,0.0,0.0,5.0,0.0,2,2,2,1.978131,1.978131,0.993525,0.005252,0.001223,0.0,0.0,1.0,1.978131,1.978131,2,middle,0,0.049,22,14,2,8,2,16,True,bottom,True,1,spots,True,False
black-stem03-cap0p292-clean-+1-r0-none-p1,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem03-cap0p292-clean-+1-r0-none-p1.png,images_balanced/black-stem03-cap0p292-clean-+1-r0-none-p1.png,images_balanced/black-stem03-cap0p292-clean-+1-r0-none-p1.png,black,"(0, 0, 0)",0.292,3,1,1,low,low,low,low,1,1,1,1,False,0,0.0,0.0,5.0,0.0,1,1,1,0.928959,0.928959,0.984382,0.012762,0.002856,1.0,0.0,0.0,0.928959,0.928959,1,middle,0,0.05,22,14,2,8,2,16,False,none,True,1,spots,True,False
black-stem04-cap0p292-clean-+1-r0-none-p0,/Users/jianleguo/Desktop/Dale/MUSHROOM/Dimensionality_Reward_Setup/NK_model/Smooth_NK_reward/images_balanced/black-stem04-cap0p292-clean-+1-r0-none-p0.png,images_balanced/black-stem04-cap0p292-clean-+1-r0-none-p0.png,images_balanced/black-stem04-cap0p292-clean-+1-r0-none-p0.png,black,"(0, 0, 0)",0.292,4,1,1,low,low,low,low,1,1,1,1,False,0,0.0,0.0,5.0,0.0,1,1,1,1.125166,1.125166,0.984382,0.012762,0.002856,0.943945,0.046615,0.00944,1.125166,1.125166,1,middle,0,0.051,22,14,2,8,2,16,False,none,False,0,none,False,False
